Week,Away Team,Home Team,Winning Team,Rec_home,Yds_home,Yds/Rec_home,TD_home,20_home,40_home,Lng_home,Rec 1st_home,Rec 1st%_home,Rec FUM_home,Rec_away,Yds_away,Yds/Rec_away,TD_away,20_away,40_away,Lng_away,Rec 1st_away,Rec 1st%_away,Rec FUM_away,Home_Win
16,Saints,Rams,Rams,361,4300,11.9,26,64,8,80,206,57.1,4,406,4225,10.4,28,52,11,58,199,49.0,0,1
5,Saints,Patriots,Saints,351,3392,9.7,16,34,4,58,153,43.6,5,406,4225,10.4,28,52,11,58,199,49.0,0,0
2,Saints,Panthers,Saints,350,3245,9.3,13,31,5,48,150,42.9,7,406,4225,10.4,28,52,11,58,199,49.0,0,0
3,Saints,Packers,Packers,374,4210,11.3,32,56,7,77,211,56.4,5,406,4225,10.4,28,52,11,58,199,49.0,0,1
14,Buccaneers,Falcons,Buccaneers,327,3775,11.5,17,46,10,75,181,55.4,2,364,4044,11.1,28,60,12,75,188,51.6,7,0
12,Buccaneers,Colts,Colts,355,3882,10.9,18,45,11,75,178,50.1,3,364,4044,11.1,28,60,12,75,188,51.6,7,1
1,Buccaneers,Vikings,Buccaneers,424,4700,11.1,30,74,7,62,220,51.9,4,364,4044,11.1,28,60,12,75,188,51.6,7,0
4,Buccaneers,Saints,Buccaneers,406,4225,10.4,28,52,11,58,199,49.0,0,364,4044,11.1,28,60,12,75,188,51.6,7,0
8,Buccaneers,Bills,Bills,385,4306,11.2,29,49,9,81,199,51.7,6,364,4044,11.1,28,60,12,75,188,51.6,7,1
9,Buccaneers,Texans,Texans,372,4578,12.3,27,69,10,75,215,57.8,3,364,4044,11.1,28,60,12,75,188,51.6,7,1
18,Buccaneers,Panthers,Buccaneers,350,3245,9.3,13,31,5,48,150,42.9,7,364,4044,11.1,28,60,12,75,188,51.6,7,0
11,Buccaneers,49ers,49ers,336,4577,13.6,33,75,15,76,207,61.6,3,364,4044,11.1,28,60,12,75,188,51.6,7,1
15,Buccaneers,Packers,Buccaneers,374,4210,11.3,32,56,7,77,211,56.4,5,364,4044,11.1,28,60,12,75,188,51.6,7,0
16,Colts,Falcons,Falcons,327,3775,11.5,17,46,10,75,181,55.4,2,355,3882,10.9,18,45,11,75,178,50.1,3,1
3,Colts,Ravens,Colts,328,3881,11.8,27,52,9,80,180,54.9,6,355,3882,10.9,18,45,11,75,178,50.1,3,0
14,Colts,Bengals,Bengals,420,4257,10.1,27,46,10,80,208,49.5,3,355,3882,10.9,18,45,11,75,178,50.1,3,1
13,Colts,Titans,Colts,304,3512,11.6,14,54,10,70,158,52.0,2,355,3882,10.9,18,45,11,75,178,50.1,3,0
6,Colts,Jaguars,Jaguars,412,4377,10.6,22,51,10,65,199,48.3,8,355,3882,10.9,18,45,11,75,178,50.1,3,1
2,Colts,Texans,Colts,372,4578,12.3,27,69,10,75,215,57.8,3,355,3882,10.9,18,45,11,75,178,50.1,3,0
10,Colts,Patriots,Colts,351,3392,9.7,16,34,4,58,153,43.6,5,355,3882,10.9,18,45,11,75,178,50.1,3,0
9,Colts,Panthers,Colts,350,3245,9.3,13,31,5,48,150,42.9,7,355,3882,10.9,18,45,11,75,178,50.1,3,0
3,Titans,Browns,Browns,355,4011,11.3,24,53,15,75,173,48.7,5,304,3512,11.6,14,54,10,70,158,52.0,2,1
5,Titans,Colts,Colts,355,3882,10.9,18,45,11,75,178,50.1,3,304,3512,11.6,14,54,10,70,158,52.0,2,1
1,Titans,Saints,Saints,406,4225,10.4,28,52,11,58,199,49.0,0,304,3512,11.6,14,54,10,70,158,52.0,2,1
9,Titans,Steelers,Steelers,323,3421,10.6,13,41,9,86,153,47.4,6,304,3512,11.6,14,54,10,70,158,52.0,2,1
10,Titans,Buccaneers,Buccaneers,364,4044,11.1,28,60,12,75,188,51.6,7,304,3512,11.6,14,54,10,70,158,52.0,2,1
11,Titans,Jaguars,Jaguars,412,4377,10.6,22,51,10,65,199,48.3,8,304,3512,11.6,14,54,10,70,158,52.0,2,1
17,Titans,Texans,Texans,372,4578,12.3,27,69,10,75,215,57.8,3,304,3512,11.6,14,54,10,70,158,52.0,2,1
14,Titans,Dolphins,Titans,393,4698,12.0,30,59,12,78,223,56.7,4,304,3512,11.6,14,54,10,70,158,52.0,2,0
4,Ravens,Browns,Ravens,355,4011,11.3,24,53,15,75,173,48.7,5,328,3881,11.8,27,52,9,80,180,54.9,6,0
5,Ravens,Steelers,Steelers,323,3421,10.6,13,41,9,86,153,47.4,6,328,3881,11.8,27,52,9,80,180,54.9,6,1
12,Ravens,Chargers,Ravens,409,4312,10.5,24,55,7,79,204,49.9,8,328,3881,11.8,27,52,9,80,180,54.9,6,0
2,Ravens,Bengals,Ravens,420,4257,10.1,27,46,10,80,208,49.5,3,328,3881,11.8,27,52,9,80,180,54.9,6,0
6,Ravens,Titans,Ravens,304,3512,11.6,14,54,10,70,158,52.0,2,328,3881,11.8,27,52,9,80,180,54.9,6,0
15,Ravens,Jaguars,Ravens,412,4377,10.6,22,51,10,65,199,48.3,8,328,3881,11.8,27,52,9,80,180,54.9,6,0
8,Ravens,Cardinals,Ravens,355,3430,9.7,18,38,3,69,173,48.7,2,328,3881,11.8,27,52,9,80,180,54.9,6,0
16,Ravens,49ers,Ravens,336,4577,13.6,33,75,15,76,207,61.6,3,328,3881,11.8,27,52,9,80,180,54.9,6,0
6,49ers,Browns,Browns,355,4011,11.3,24,53,15,75,173,48.7,5,336,4577,13.6,33,75,15,76,207,61.6,3,1
7,49ers,Vikings,Vikings,424,4700,11.1,30,74,7,62,220,51.9,4,336,4577,13.6,33,75,15,76,207,61.6,3,1
1,49ers,Steelers,49ers,323,3421,10.6,13,41,9,86,153,47.4,6,336,4577,13.6,33,75,15,76,207,61.6,3,0
17,49ers,Commanders,49ers,407,4174,10.3,24,48,5,51,190,46.7,5,336,4577,13.6,33,75,15,76,207,61.6,3,0
13,49ers,Eagles,49ers,369,4067,11.0,24,50,7,63,197,53.4,4,336,4577,13.6,33,75,15,76,207,61.6,3,0
12,49ers,Seahawks,49ers,371,4167,11.2,23,56,6,73,189,50.9,0,336,4577,13.6,33,75,15,76,207,61.6,3,0
10,49ers,Jaguars,49ers,412,4377,10.6,22,51,10,65,199,48.3,8,336,4577,13.6,33,75,15,76,207,61.6,3,0
2,49ers,Rams,49ers,361,4300,11.9,26,64,8,80,206,57.1,4,336,4577,13.6,33,75,15,76,207,61.6,3,0
15,49ers,Cardinals,49ers,355,3430,9.7,18,38,3,69,173,48.7,2,336,4577,13.6,33,75,15,76,207,61.6,3,0
9,Cardinals,Browns,Browns,355,4011,11.3,24,53,15,75,173,48.7,5,355,3430,9.7,18,38,3,69,173,48.7,2,1
13,Cardinals,Steelers,Cardinals,323,3421,10.6,13,41,9,86,153,47.4,6,355,3430,9.7,18,38,3,69,173,48.7,2,0
1,Cardinals,Commanders,Commanders,407,4174,10.3,24,48,5,51,190,46.7,5,355,3430,9.7,18,38,3,69,173,48.7,2,1
16,Cardinals,Bears,Bears,321,3421,10.7,19,48,5,58,169,52.6,4,355,3430,9.7,18,38,3,69,173,48.7,2,1
17,Cardinals,Eagles,Cardinals,369,4067,11.0,24,50,7,63,197,53.4,4,355,3430,9.7,18,38,3,69,173,48.7,2,0
7,Cardinals,Seahawks,Seahawks,371,4167,11.2,23,56,6,73,189,50.9,0,355,3430,9.7,18,38,3,69,173,48.7,2,1
11,Cardinals,Texans,Texans,372,4578,12.3,27,69,10,75,215,57.8,3,355,3430,9.7,18,38,3,69,173,48.7,2,1
6,Cardinals,Rams,Rams,361,4300,11.9,26,64,8,80,206,57.1,4,355,3430,9.7,18,38,3,69,173,48.7,2,1
4,Cardinals,49ers,49ers,336,4577,13.6,33,75,15,76,207,61.6,3,355,3430,9.7,18,38,3,69,173,48.7,2,1
11,Steelers,Browns,Browns,355,4011,11.3,24,53,15,75,173,48.7,5,323,3421,10.6,13,41,9,86,153,47.4,6,1
