Week,Away Team,Home Team,Winning Team,Avg_home,Ret_home,Yds_home,PRet T_home,20_home,40_home,Lng_home,FC_home,FUM_home,P Blk_home,Avg_away,Ret_away,Yds_away,PRet T_away,20_away,40_away,Lng_away,FC_away,FUM_away,P Blk_away,Home_Win
7,Steelers,Rams,Steelers,7.3,28,204,0,1,0,29,24,3,0,8.6,30,257,0,3,0,34,13,3,2,0
3,Steelers,Raiders,Steelers,10.0,25,249,0,1,0,32,18,2,0,8.6,30,257,0,3,0,34,13,3,2,0
14,Jaguars,Browns,Browns,8.4,41,343,0,1,0,21,36,2,0,10.2,29,297,0,4,1,48,17,2,0,1
1,Jaguars,Colts,Jaguars,9.2,29,267,0,2,0,32,22,3,1,10.2,29,297,0,4,1,48,17,2,0,0
7,Jaguars,Saints,Jaguars,12.2,32,392,1,2,1,76,24,0,0,10.2,29,297,0,4,1,48,17,2,0,0
8,Jaguars,Steelers,Jaguars,8.6,30,257,0,3,0,34,13,3,2,10.2,29,297,0,4,1,48,17,2,0,0
5,Jaguars,Bills,Jaguars,11.6,31,360,1,4,1,96,25,3,0,10.2,29,297,0,4,1,48,17,2,0,0
18,Jaguars,Titans,Titans,7.9,42,330,0,1,0,21,14,3,0,10.2,29,297,0,4,1,48,17,2,0,1
16,Jaguars,Buccaneers,Buccaneers,9.4,25,234,0,1,1,51,18,2,0,10.2,29,297,0,4,1,48,17,2,0,1
12,Jaguars,Texans,Jaguars,9.7,30,292,0,2,0,22,24,2,0,10.2,29,297,0,4,1,48,17,2,0,0
17,Jets,Browns,Browns,8.4,41,343,0,1,0,21,36,2,0,9.7,33,319,1,2,1,65,31,3,1,1
5,Jets,Broncos,Jets,16.3,20,326,0,5,2,52,15,1,0,9.7,33,319,1,2,1,65,31,3,1,0
8,Jets,Giants,Jets,8.9,35,311,1,1,1,94,16,7,0,9.7,33,319,1,2,1,65,31,3,1,0
11,Jets,Bills,Bills,11.6,31,360,1,4,1,96,25,3,0,9.7,33,319,1,2,1,65,31,3,1,1
2,Jets,Cowboys,Cowboys,5.4,18,98,0,0,0,15,23,1,2,9.7,33,319,1,2,1,65,31,3,1,1
18,Jets,Patriots,Jets,6.3,33,208,0,2,0,25,26,5,0,9.7,33,319,1,2,1,65,31,3,1,0
15,Jets,Dolphins,Dolphins,9.8,27,265,0,0,0,19,26,1,0,9.7,33,319,1,2,1,65,31,3,1,1
10,Jets,Raiders,Raiders,10.0,25,249,0,1,0,32,18,2,0,9.7,33,319,1,2,1,65,31,3,1,1
4,Rams,Colts,Rams,9.2,29,267,0,2,0,32,22,3,1,7.3,28,204,0,1,0,29,24,3,0,0
14,Rams,Ravens,Ravens,14.4,29,417,1,6,2,76,27,0,0,7.3,28,204,0,1,0,29,24,3,0,1
1,Rams,Seahawks,Rams,10.6,25,265,0,3,0,32,16,2,0,7.3,28,204,0,1,0,29,24,3,0,0
17,Rams,Giants,Rams,8.9,35,311,1,1,1,94,16,7,0,7.3,28,204,0,1,0,29,24,3,0,0
3,Rams,Bengals,Bengals,10.2,34,346,1,4,1,81,16,1,0,7.3,28,204,0,1,0,29,24,3,0,1
12,Rams,Cardinals,Rams,9.2,31,286,0,2,1,49,11,1,0,7.3,28,204,0,1,0,29,24,3,0,0
8,Rams,Cowboys,Cowboys,5.4,18,98,0,0,0,15,23,1,2,7.3,28,204,0,1,0,29,24,3,0,1
18,Rams,49ers,Rams,8.0,34,273,0,0,0,19,13,2,0,7.3,28,204,0,1,0,29,24,3,0,0
9,Rams,Packers,Packers,7.3,26,189,0,3,0,35,15,6,0,7.3,28,204,0,1,0,29,24,3,0,1
7,Browns,Colts,Browns,9.2,29,267,0,2,0,32,22,3,1,8.4,41,343,0,1,0,21,36,2,0,0
2,Browns,Steelers,Steelers,8.6,30,257,0,3,0,34,13,3,2,8.4,41,343,0,1,0,21,36,2,0,1
10,Browns,Ravens,Browns,14.4,29,417,1,6,2,76,27,0,0,8.4,41,343,0,1,0,21,36,2,0,0
12,Browns,Broncos,Broncos,16.3,20,326,0,5,2,52,15,1,0,8.4,41,343,0,1,0,21,36,2,0,1
