Week,Away Team,Home Team,Winning Team,FGM_home,Att_home,FG %_home,1-19 > A-M_home,20-29 > A-M_home,30-39 > A-M_home,40-49 > A-M_home,50-59 > A-M_home,60+ > A-M_home,Lng_home,FG Blk_home,FGM_away,Att_away,FG %_away,1-19 > A-M_away,20-29 > A-M_away,30-39 > A-M_away,40-49 > A-M_away,50-59 > A-M_away,60+ > A-M_away,Lng_away,FG Blk_away,Home_Win
13,Cardinals,Steelers,Cardinals,29,31,93.6,0,9,7,8,6,1,57,0,28,33,84.8,0,6,8,7,11,1,62,0,0
1,Cardinals,Commanders,Commanders,19,24,79.2,0,3,7,9,4,1,61,1,28,33,84.8,0,6,8,7,11,1,62,0,1
16,Cardinals,Bears,Bears,35,38,92.1,0,9,11,10,8,0,55,0,28,33,84.8,0,6,8,7,11,1,62,0,1
17,Cardinals,Eagles,Cardinals,30,32,93.8,0,9,8,7,7,1,61,0,28,33,84.8,0,6,8,7,11,1,62,0,0
7,Cardinals,Seahawks,Seahawks,35,42,83.3,0,8,12,14,8,0,55,0,28,33,84.8,0,6,8,7,11,1,62,0,1
11,Cardinals,Texans,Texans,34,38,89.5,0,13,13,4,8,0,54,0,28,33,84.8,0,6,8,7,11,1,62,0,1
6,Cardinals,Rams,Rams,32,43,74.4,0,11,7,15,10,0,54,1,28,33,84.8,0,6,8,7,11,1,62,0,1
4,Cardinals,49ers,49ers,21,25,84.0,0,7,9,6,3,0,57,0,28,33,84.8,0,6,8,7,11,1,62,0,1
11,Steelers,Browns,Browns,34,37,91.9,0,8,8,13,8,0,58,0,29,31,93.6,0,9,7,8,6,1,57,0,1
15,Steelers,Colts,Colts,33,41,80.5,0,9,10,9,12,1,57,1,29,31,93.6,0,9,7,8,6,1,57,0,1
18,Steelers,Ravens,Steelers,32,37,86.5,0,10,10,12,4,1,50,1,29,31,93.6,0,9,7,8,6,1,57,0,0
17,Steelers,Seahawks,Steelers,35,42,83.3,0,8,12,14,8,0,55,0,29,31,93.6,0,9,7,8,6,1,57,0,0
12,Steelers,Bengals,Steelers,26,31,83.9,0,5,6,8,12,0,56,0,29,31,93.6,0,9,7,8,6,1,57,0,0
4,Steelers,Texans,Texans,34,38,89.5,0,13,13,4,8,0,54,0,29,31,93.6,0,9,7,8,6,1,57,0,1
7,Steelers,Rams,Steelers,32,43,74.4,0,11,7,15,10,0,54,1,29,31,93.6,0,9,7,8,6,1,57,0,0
3,Steelers,Raiders,Steelers,26,30,86.7,0,10,7,10,3,0,54,1,29,31,93.6,0,9,7,8,6,1,57,0,0
14,Jaguars,Browns,Browns,34,37,91.9,0,8,8,13,8,0,58,0,30,37,81.1,0,4,10,13,10,0,56,1,1
1,Jaguars,Colts,Jaguars,33,41,80.5,0,9,10,9,12,1,57,1,30,37,81.1,0,4,10,13,10,0,56,1,0
7,Jaguars,Saints,Jaguars,30,37,81.1,0,12,6,10,9,0,55,0,30,37,81.1,0,4,10,13,10,0,56,1,0
8,Jaguars,Steelers,Jaguars,29,31,93.6,0,9,7,8,6,1,57,0,30,37,81.1,0,4,10,13,10,0,56,1,0
5,Jaguars,Bills,Jaguars,24,29,82.8,0,4,13,6,6,0,54,1,30,37,81.1,0,4,10,13,10,0,56,1,0
18,Jaguars,Titans,Titans,29,30,96.7,0,9,9,6,6,0,53,0,30,37,81.1,0,4,10,13,10,0,56,1,1
16,Jaguars,Buccaneers,Buccaneers,29,31,93.6,0,8,12,3,8,0,57,2,30,37,81.1,0,4,10,13,10,0,56,1,1
12,Jaguars,Texans,Jaguars,34,38,89.5,0,13,13,4,8,0,54,0,30,37,81.1,0,4,10,13,10,0,56,1,0
