Week,Away Team,Home Team,Winning Team,Rec_home,Yds_home,Yds/Rec_home,TD_home,20_home,40_home,Lng_home,Rec 1st_home,Rec 1st%_home,Rec FUM_home,PDef_home,Rec_away,Yds_away,Yds/Rec_away,TD_away,20_away,40_away,Lng_away,Rec 1st_away,Rec 1st%_away,Rec FUM_away,PDef_away,Home_Win
18,Buccaneers,Panthers,Buccaneers,309,3109,10.1,19,39,9,75,162,52.4,3,59,404,4568,11.3,23,65,9,76,213,52.7,6,89,0
11,Buccaneers,49ers,49ers,410,3949,9.6,20,45,5,60,190,46.3,6,60,404,4568,11.3,23,65,9,76,213,52.7,6,89,1
15,Buccaneers,Packers,Buccaneers,342,3803,11.1,21,56,3,52,189,55.3,1,71,404,4568,11.3,23,65,9,76,213,52.7,6,89,0
16,Colts,Falcons,Falcons,340,3707,10.9,24,49,6,61,183,53.8,3,78,370,4157,11.2,21,54,8,75,192,51.9,4,79,1
3,Colts,Ravens,Colts,384,3717,9.7,18,46,6,71,175,45.6,3,47,370,4157,11.2,21,54,8,75,192,51.9,4,79,0
14,Colts,Bengals,Bengals,364,4480,12.3,23,65,11,86,201,55.2,4,80,370,4157,11.2,21,54,8,75,192,51.9,4,79,1
13,Colts,Titans,Colts,387,4181,10.8,20,52,11,59,189,48.8,2,79,370,4157,11.2,21,54,8,75,192,51.9,4,79,0
6,Colts,Jaguars,Jaguars,404,4355,10.8,27,47,13,76,198,49.0,5,73,370,4157,11.2,21,54,8,75,192,51.9,4,79,1
2,Colts,Texans,Colts,382,4334,11.4,17,60,15,75,185,48.4,6,73,370,4157,11.2,21,54,8,75,192,51.9,4,79,0
10,Colts,Patriots,Colts,370,3791,10.2,19,48,6,51,181,48.9,3,89,370,4157,11.2,21,54,8,75,192,51.9,4,79,0
9,Colts,Panthers,Colts,309,3109,10.1,19,39,9,75,162,52.4,3,59,370,4157,11.2,21,54,8,75,192,51.9,4,79,0
3,Titans,Browns,Browns,307,3149,10.3,23,39,7,75,136,44.3,2,95,387,4181,10.8,20,52,11,59,189,48.8,2,79,1
5,Titans,Colts,Colts,370,4157,11.2,21,54,8,75,192,51.9,4,79,387,4181,10.8,20,52,11,59,189,48.8,2,79,1
1,Titans,Saints,Saints,333,3768,11.3,22,48,9,71,167,50.2,4,68,387,4181,10.8,20,52,11,59,189,48.8,2,79,1
9,Titans,Steelers,Steelers,348,4164,12.0,23,63,6,80,186,53.4,6,66,387,4181,10.8,20,52,11,59,189,48.8,2,79,1
10,Titans,Buccaneers,Buccaneers,404,4568,11.3,23,65,9,76,213,52.7,6,89,387,4181,10.8,20,52,11,59,189,48.8,2,79,1
11,Titans,Jaguars,Jaguars,404,4355,10.8,27,47,13,76,198,49.0,5,73,387,4181,10.8,20,52,11,59,189,48.8,2,79,1
17,Titans,Texans,Texans,382,4334,11.4,17,60,15,75,185,48.4,6,73,387,4181,10.8,20,52,11,59,189,48.8,2,79,1
14,Titans,Dolphins,Titans,380,4132,10.9,27,57,10,75,186,49.0,6,66,387,4181,10.8,20,52,11,59,189,48.8,2,79,0
4,Ravens,Browns,Ravens,307,3149,10.3,23,39,7,75,136,44.3,2,95,384,3717,9.7,18,46,6,71,175,45.6,3,47,0
5,Ravens,Steelers,Steelers,348,4164,12.0,23,63,6,80,186,53.4,6,66,384,3717,9.7,18,46,6,71,175,45.6,3,47,1
12,Ravens,Chargers,Ravens,389,4580,11.8,26,61,14,70,203,52.2,3,86,384,3717,9.7,18,46,6,71,175,45.6,3,47,0
2,Ravens,Bengals,Ravens,364,4480,12.3,23,65,11,86,201,55.2,4,80,384,3717,9.7,18,46,6,71,175,45.6,3,47,0
6,Ravens,Titans,Ravens,387,4181,10.8,20,52,11,59,189,48.8,2,79,384,3717,9.7,18,46,6,71,175,45.6,3,47,0
15,Ravens,Jaguars,Ravens,404,4355,10.8,27,47,13,76,198,49.0,5,73,384,3717,9.7,18,46,6,71,175,45.6,3,47,0
8,Ravens,Cardinals,Ravens,347,3846,11.1,32,49,10,63,198,57.1,2,79,384,3717,9.7,18,46,6,71,175,45.6,3,47,0
16,Ravens,49ers,Ravens,410,3949,9.6,20,45,5,60,190,46.3,6,60,384,3717,9.7,18,46,6,71,175,45.6,3,47,0
6,49ers,Browns,Browns,307,3149,10.3,23,39,7,75,136,44.3,2,95,410,3949,9.6,20,45,5,60,190,46.3,6,60,1
7,49ers,Vikings,Vikings,426,4288,10.1,23,51,7,70,208,48.8,9,91,410,3949,9.6,20,45,5,60,190,46.3,6,60,1
1,49ers,Steelers,49ers,348,4164,12.0,23,63,6,80,186,53.4,6,66,410,3949,9.6,20,45,5,60,190,46.3,6,60,0
17,49ers,Commanders,49ers,396,4627,11.7,39,60,12,78,218,55.0,3,98,410,3949,9.6,20,45,5,60,190,46.3,6,60,0
13,49ers,Eagles,49ers,425,4551,10.7,35,56,6,69,222,52.2,6,80,410,3949,9.6,20,45,5,60,190,46.3,6,60,0
12,49ers,Seahawks,49ers,390,4259,10.9,21,57,10,54,202,51.8,5,74,410,3949,9.6,20,45,5,60,190,46.3,6,60,0
10,49ers,Jaguars,49ers,404,4355,10.8,27,47,13,76,198,49.0,5,73,410,3949,9.6,20,45,5,60,190,46.3,6,60,0
2,49ers,Rams,49ers,367,4195,11.4,24,57,10,80,193,52.6,2,60,410,3949,9.6,20,45,5,60,190,46.3,6,60,0
15,49ers,Cardinals,49ers,347,3846,11.1,32,49,10,63,198,57.1,2,79,410,3949,9.6,20,45,5,60,190,46.3,6,60,0
9,Cardinals,Browns,Browns,307,3149,10.3,23,39,7,75,136,44.3,2,95,347,3846,11.1,32,49,10,63,198,57.1,2,79,1
13,Cardinals,Steelers,Cardinals,348,4164,12.0,23,63,6,80,186,53.4,6,66,347,3846,11.1,32,49,10,63,198,57.1,2,79,0
1,Cardinals,Commanders,Commanders,396,4627,11.7,39,60,12,78,218,55.0,3,98,347,3846,11.1,32,49,10,63,198,57.1,2,79,1
16,Cardinals,Bears,Bears,410,4245,10.4,31,48,10,75,196,47.8,4,80,347,3846,11.1,32,49,10,63,198,57.1,2,79,1
17,Cardinals,Eagles,Cardinals,425,4551,10.7,35,56,6,69,222,52.2,6,80,347,3846,11.1,32,49,10,63,198,57.1,2,79,0
7,Cardinals,Seahawks,Seahawks,390,4259,10.9,21,57,10,54,202,51.8,5,74,347,3846,11.1,32,49,10,63,198,57.1,2,79,1
11,Cardinals,Texans,Texans,382,4334,11.4,17,60,15,75,185,48.4,6,73,347,3846,11.1,32,49,10,63,198,57.1,2,79,1
6,Cardinals,Rams,Rams,367,4195,11.4,24,57,10,80,193,52.6,2,60,347,3846,11.1,32,49,10,63,198,57.1,2,79,1
4,Cardinals,49ers,49ers,410,3949,9.6,20,45,5,60,190,46.3,6,60,347,3846,11.1,32,49,10,63,198,57.1,2,79,1
11,Steelers,Browns,Browns,307,3149,10.3,23,39,7,75,136,44.3,2,95,348,4164,12.0,23,63,6,80,186,53.4,6,66,1
15,Steelers,Colts,Colts,370,4157,11.2,21,54,8,75,192,51.9,4,79,348,4164,12.0,23,63,6,80,186,53.4,6,66,1
18,Steelers,Ravens,Steelers,384,3717,9.7,18,46,6,71,175,45.6,3,47,348,4164,12.0,23,63,6,80,186,53.4,6,66,0
