Week,Away Team,Home Team,Winning Team,FGM_home,FG %_home,XPM_home,XP Pct_home,KRet TD_home,PRet T_home,FGM_away,FG %_away,XPM_away,XP Pct_away,KRet TD_away,PRet T_away,Home_Win
14,Patriots,Steelers,Patriots,29,93.6,27,96.4,0,0,16,64.0,24,96.0,1,0,0
16,Patriots,Broncos,Patriots,30,88.2,29,93.6,1,0,16,64.0,24,96.0,1,0,0
1,Patriots,Eagles,Eagles,30,93.8,45,97.8,0,0,16,64.0,24,96.0,1,0,1
12,Patriots,Giants,Giants,22,71.0,24,96.0,0,1,16,64.0,24,96.0,1,0,1
3,Patriots,Jets,Patriots,36,92.3,16,94.1,0,1,16,64.0,24,96.0,1,0,0
17,Patriots,Bills,Bills,24,82.8,49,98.0,0,1,16,64.0,24,96.0,1,0,1
4,Patriots,Cowboys,Cowboys,36,94.7,49,94.2,0,0,16,64.0,24,96.0,1,0,1
8,Patriots,Dolphins,Dolphins,24,85.7,58,98.3,0,0,16,64.0,24,96.0,1,0,1
6,Patriots,Raiders,Raiders,26,86.7,32,100.0,0,0,16,64.0,24,96.0,1,0,1
18,Cowboys,Commanders,Cowboys,19,79.2,32,91.4,0,0,36,94.7,49,94.2,0,0,0
9,Cowboys,Eagles,Eagles,30,93.8,45,97.8,0,0,36,94.7,49,94.2,0,0,1
6,Cowboys,Chargers,Cowboys,31,93.9,35,100.0,0,1,36,94.7,49,94.2,0,0,0
1,Cowboys,Giants,Cowboys,22,71.0,24,96.0,0,1,36,94.7,49,94.2,0,0,0
15,Cowboys,Bills,Bills,24,82.8,49,98.0,0,1,36,94.7,49,94.2,0,0,1
3,Cowboys,Cardinals,Cardinals,28,84.8,22,95.6,0,0,36,94.7,49,94.2,0,0,1
11,Cowboys,Panthers,Cowboys,25,83.3,17,85.0,0,1,36,94.7,49,94.2,0,0,0
5,Cowboys,49ers,49ers,21,84.0,60,98.4,0,0,36,94.7,49,94.2,0,0,1
16,Cowboys,Dolphins,Dolphins,24,85.7,58,98.3,0,0,36,94.7,49,94.2,0,0,1
9,Seahawks,Ravens,Ravens,32,86.5,51,98.1,0,1,35,83.3,33,100.0,0,0,1
4,Seahawks,Giants,Seahawks,22,71.0,24,96.0,0,1,35,83.3,33,100.0,0,0,0
6,Seahawks,Bengals,Bengals,26,83.9,40,100.0,0,1,35,83.3,33,100.0,0,0,1
2,Seahawks,Lions,Seahawks,19,90.5,48,92.3,0,0,35,83.3,33,100.0,0,0,0
